plate_no,rolling_date,scale,spec_long,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,fur_ex_temp,rolling_method,rolling_temp,descaling_count,work_group
PLT_1469,06JAN2023:13:50:48,양품,AB/AH32,미국,C,23,3200,31400,적용,2호기,2열,1161,64,1166,51,219,1166,CR(제어압연),984,8,1조
PLT_1470,06JAN2023:13:56:01,양품,GL-A32,독일,C,18,3600,41000,적용,3호기,1열,1185,80,1171,48,203,1171,CR(제어압연),958,10,1조
PLT_1471,06JAN2023:14:07:14,불량,LR-AH32,영국,C,18,3600,41000,미적용,3호기,1열,1185,80,1171,48,186,1171,CR(제어압연),958,10,1조
PLT_1472,06JAN2023:14:14:35,불량,LR-AH32,영국,C,18,3600,41800,적용,3호기,2열,1198,81,1179,47,223,1179,CR(제어압연),960,10,1조
PLT_1473,06JAN2023:14:26:02,양품,JS-SM490YB,일본,C,14,3300,51200,적용,2호기,1열,1187,69,1167,46,218,1167,CR(제어압연),908,10,1조
PLT_1474,06JAN2023:14:36:26,양품,AB/AH32,미국,C,14,3300,53200,적용,1호기,1열,1181,119,1174,53,260,1174,CR(제어압연),914,10,1조
PLT_1475,06JAN2023:14:43:37,양품,KR-AH32,한국,C,14,3300,53200,적용,1호기,1열,1181,62,1174,53,213,1174,CR(제어압연),914,10,1조
PLT_1476,06JAN2023:14:55:52,양품,NV-A32,영국,C,12,3600,48700,적용,1호기,2열,1192,68,1173,55,202,1173,CR(제어압연),882,10,1조
PLT_1477,06JAN2023:15:07:06,양품,LR-B,영국,C,12,3200,43300,적용,2호기,1열,1184,70,1161,51,190,1161,CR(제어압연),901,10,1조
PLT_1478,06JAN2023:15:21:26,양품,JS-SM490A,일본,C,13,3000,53500,적용,2호기,2열,1167,80,1156,49,219,1156,CR(제어압연),919,10,1조
PLT_1479,06JAN2023:15:30:03,양품,KS-SM490B,한국,C,14,2900,54300,적용,3호기,1열,1166,72,1163,60,221,1163,CR(제어압연),923,10,1조
PLT_1480,06JAN2023:15:41:41,양품,JS-SM490YB,일본,C,18,3100,41800,적용,3호기,2열,1183,64,1173,64,188,1173,CR(제어압연),957,10,1조
PLT_1481,06JAN2023:15:49:04,불량,JS-SM490YB,일본,C,18,3100,41800,미적용,1호기,1열,1195,63,1173,52,215,1173,CR(제어압연),981,10,1조
PLT_1482,06JAN2023:16:03:29,양품,JS-SM490YB,일본,C,18,3100,41800,적용,1호기,2열,1192,73,1167,58,204,1167,CR(제어압연),977,10,1조
PLT_1483,06JAN2023:16:15:23,양품,JS-SM490YB,일본,C,18,3100,41800,적용,2호기,1열,1183,79,1162,44,202,1162,CR(제어압연),936,10,1조
PLT_1484,06JAN2023:16:26:11,양품,BV-AH32,프랑스,C,18,3100,46300,적용,3호기,1열,1194,73,1170,61,201,1170,CR(제어압연),982,10,1조
PLT_1485,06JAN2023:16:33:46,양품,LR-AH32,영국,C,18,3100,46300,적용,3호기,1열,1194,73,1170,61,194,1170,CR(제어압연),982,10,1조
PLT_1486,06JAN2023:16:43:08,불량,NV-A32,영국,C,18,3100,46300,적용,3호기,1열,1194,73,1170,61,213,1170,CR(제어압연),982,9,1조
PLT_1487,06JAN2023:16:53:18,불량,NV-A32,영국,C,18,3100,48300,적용,3호기,2열,1193,63,1176,64,196,1176,CR(제어압연),973,9,1조
PLT_1488,06JAN2023:17:00:29,양품,AB/AH32,미국,C,19,3100,42200,적용,1호기,1열,1195,72,1165,49,180,1165,CR(제어압연),989,10,1조
PLT_1489,06JAN2023:17:09:57,불량,BV-AH32,프랑스,C,19,3100,42200,미적용,1호기,1열,1195,72,1165,49,211,1165,CR(제어압연),989,10,1조
PLT_1490,06JAN2023:17:16:08,양품,NV-A32,영국,C,19,3100,42200,적용,1호기,1열,1195,72,1165,49,215,1165,CR(제어압연),989,10,1조
PLT_1491,06JAN2023:17:24:19,양품,AB/AH32,미국,C,17,3000,49200,적용,3호기,1열,1198,64,1172,57,204,1172,CR(제어압연),972,10,1조
PLT_1492,06JAN2023:17:34:18,불량,GL-A32,독일,C,17,3000,49200,미적용,3호기,1열,1198,64,1172,57,225,1172,CR(제어압연),972,10,1조
PLT_1493,06JAN2023:17:41:07,불량,AB/AH32,미국,C,17,3100,50200,적용,3호기,2열,1204,71,1176,50,212,1176,CR(제어압연),972,10,1조
PLT_1494,06JAN2023:17:53:54,불량,NV-A32,영국,C,17,3100,50200,적용,3호기,2열,1204,71,1176,50,201,1176,CR(제어압연),972,10,1조
PLT_1495,06JAN2023:18:07:22,양품,BV-B,프랑스,C,19,3000,43100,적용,1호기,2열,1177,63,1157,68,196,1157,CR(제어압연),957,10,1조
PLT_1496,06JAN2023:18:16:36,양품,NV-D36-TM,영국,T,23,4100,22500,적용,2호기,2열,1200,64,1159,58,211,1159,TMCP(온도제어),905,8,1조
PLT_1497,06JAN2023:18:22:27,양품,NK-KA32-TM,일본,T,22,2900,30700,적용,2호기,1열,1173,73,1153,58,212,1153,TMCP(온도제어),915,8,1조
PLT_1498,06JAN2023:18:32:34,불량,GL-A32-TM,독일,T,13,3300,33400,적용,1호기,1열,1179,66,1153,57,224,1153,TMCP(온도제어),863,9,1조
PLT_1499,06JAN2023:18:41:03,양품,GL-A32-TM,독일,T,15,3200,36900,적용,1호기,2열,1137,55,1136,68,206,1136,TMCP(온도제어),923,10,1조
PLT_1500,06JAN2023:18:50:43,양품,GL-A32-TM,독일,T,15,2700,37100,적용,2호기,1열,1147,111,1133,66,258,1133,TMCP(온도제어),916,10,1조
PLT_1501,06JAN2023:19:03:22,양품,LR-AH36-TM,영국,T,18,2800,37700,적용,2호기,2열,1187,62,1151,66,206,1151,TMCP(온도제어),904,10,2조
PLT_1502,06JAN2023:19:16:43,불량,LR-EH32-TM,영국,T,13,2600,54500,미적용,3호기,1열,1174,55,1165,75,230,1165,TMCP(온도제어),880,10,2조
PLT_1503,06JAN2023:19:30:39,양품,NV-E32-TM,영국,T,13,2500,54500,적용,3호기,2열,1169,56,1163,74,209,1163,TMCP(온도제어),889,10,2조
PLT_1504,06JAN2023:19:41:56,양품,NV-E32-TM,영국,T,14,2500,54500,적용,1호기,1열,1129,116,1130,73,282,1130,TMCP(온도제어),892,10,2조
PLT_1505,06JAN2023:19:49:44,양품,KS-HSB500,한국,T,25,1800,30200,적용,1호기,2열,1160,57,1143,73,216,1143,CR(제어압연),823,8,2조
PLT_1506,06JAN2023:19:55:26,양품,KS-HSB500,한국,T,27,1900,26300,적용,2호기,1열,1140,120,1134,68,272,1134,CR(제어압연),827,8,2조
PLT_1507,06JAN2023:20:04:05,양품,API-2W-50T,미국,T,25,2600,30100,적용,2호기,2열,1151,63,1138,69,192,1138,CR(제어압연),854,8,2조
PLT_1508,06JAN2023:20:10:28,양품,API-2W-50T,미국,T,25,2000,39600,적용,3호기,1열,1180,67,1159,65,230,1159,CR(제어압연),843,8,2조
PLT_1509,06JAN2023:20:16:37,양품,GL-A36-TM,독일,T,36,2500,22000,적용,3호기,2열,1189,106,1165,82,277,1165,TMCP(온도제어),882,8,2조
PLT_1510,06JAN2023:20:21:41,양품,BV-EH32-TM,프랑스,T,35,3100,19600,적용,1호기,2열,1140,55,1128,84,233,1128,TMCP(온도제어),936,8,2조
PLT_1511,06JAN2023:20:35:02,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,1호기,1열,1165,69,1138,77,218,1138,TMCP(온도제어),875,8,2조
PLT_1512,06JAN2023:20:42:09,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,2호기,1열,1106,57,1126,87,240,1126,TMCP(온도제어),873,8,2조
PLT_1513,06JAN2023:20:55:39,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,2호기,2열,1157,59,1133,81,214,1133,TMCP(온도제어),879,8,2조
PLT_1514,06JAN2023:21:06:26,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,3호기,1열,1175,65,1148,88,231,1148,TMCP(온도제어),875,8,2조
PLT_1515,06JAN2023:21:20:04,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,3호기,2열,1174,61,1148,91,233,1148,TMCP(온도제어),870,8,2조
PLT_1516,06JAN2023:21:28:14,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,1호기,1열,1170,56,1137,83,217,1137,TMCP(온도제어),881,8,2조
PLT_1517,06JAN2023:21:39:24,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,1호기,2열,1124,70,1116,80,226,1116,TMCP(온도제어),879,8,2조
PLT_1518,06JAN2023:21:45:37,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,2호기,1열,1117,109,1123,90,286,1123,TMCP(온도제어),873,8,2조
PLT_1519,06JAN2023:21:52:42,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,2호기,2열,1157,61,1124,88,255,1124,TMCP(온도제어),881,8,2조
